notification_type,notification_no,notification_date,contract_acct,cause_code,meter_no,prediction,probability
ZQ,37815ac6c6dea6e5ba53c4158e731a09,2021-01-01,07bf6ecc84669defae6c1145832cb290,Low Consumption,601b74e4644f8ca78659f21d22ae68ff,True,
ZQ,8378899aa32a1cbc2f96c95c24f18f60,2021-01-01,b9211ee2a384618136b4e63098ac85e2,Low Consumption,57051f66a0e1ede78d2f9360c1dfca70,False,
ZQ,9d1e5e979edad5018a5995848ffca926,2021-01-01,5da0341feacdcd82b9972e5ef53d4391,Low Consumption,b3ba8336dd1ee7b6304bceba1eed0255,True,
ZQ,bb907b30e86f0d1082e4106194897552,2021-01-01,176cc2c1f1b056c207dada8f4591186c,Low Consumption,ce0e072fa92977cb60b6848de6230538,True,
ZQ,7c8abda5ed2fb358eba7d5534b6a9803,2021-01-01,523708e0e973470719ce4a6d3b17f10c,Reversed Reading,6507c1c556ec2b23886e0fc401f01df0,True,
ZQ,1da34b1f7be1490b052febe930d06999,2021-01-01,f9582d096ae0726c79be8703e9207da1,Low Consumption,a6c081db518853408c6c0f14ebdf9e9a,False,
ZQ,fee93fc72433669205324f33716ad37e,2021-01-01,c979fa0016d43d1599c383656df9e0a6,Meter Stopped/Stuck,78b1ab09cc9127fcaecc820b62470ad9,True,
ZQ,d9edd69545b5b5b149516e442930712d,2021-01-01,3c1e992076a590f8e56471ee2c9a8431,Meter Stopped/Stuck,152b08ac9cf88222456b9e050fbb1e47,False,
ZQ,53ddfe65d2795398c096f991d1b4def4,2021-01-01,7fbffa8a35e82584615fe41d4664a725,Meter Stopped/Stuck,d2374153dfbd577f7566cdbf2f63e975,True,
ZQ,a2976e0d9d65ade60125837215db5a1d,2021-01-01,041c57694f7f8abda3b193904d03316a,Meter Stopped/Stuck,df84e92a91d5f71ca83a71b4fd48fb19,True,
ZQ,1d6403b1192f4018e980918378ba5efb,2021-01-01,c0537e1a6a740e7b67c57cbe98631685,Meter Stopped/Stuck,eb58db00b41d792fb47f4fb4d2d44270,False,
ZQ,b73e46d62bb907aef80e79cb56537207,2021-01-01,86312836041ccdb8af269b1821855f2c,Meter Stopped/Stuck,4342ae51441fcf56f162fbfda9faa8d3,False,
ZQ,1ba47bcd4f3b383dfe7ace73b19e879b,2021-01-01,bcef989165d56184e65e601d64e73a42,Meter Stopped/Stuck,f8f23dfdda8e07816f4e497424e9d70e,True,
ZQ,75c4599166aaa08dd834c7d3aa6ff9da,2021-01-01,62232593592119983ef7cc46c31bb431,Meter Stopped/Stuck,2d21a03bb6f5cad837d6089fa0b38a1c,False,
ZQ,21bf8d613b10ab1677edf4e135a439d6,2021-01-01,edc704ae040dfb0f85095d8b4406cfd0,High Consumption,bed5e2b12923823e8bd5eacc0e123e9e,True,
ZQ,b0b5a0b7ca59630c109c55ed3cd3d6b0,2021-01-01,a593e25a3382b9c62894ead8c8829583,Low Consumption,3c4c9d0f3e754882aa356d9b931a7700,True,
ZQ,65e2c6a4b81a74713520251ec901bfdd,2021-01-01,36f97e9276a1591a403ba1067469b9b9,High Consumption,c8440519d20a85eeac0e9b7a7836e147,False,
ZQ,c4c5426b9db5866d851046d091d1a456,2021-01-01,2e407fca0d5fbf7217782423b84a57a1,Low Consumption,f659f784901da7f69a20433c41d13dd7,False,
ZQ,2b158286083e45c521a17a957470e42f,2021-01-01,3a65765c1a862c987df65205cfcc343e,Meter Stopped/Stuck,a755e1541489ec9c7c37b78c5f5bf1a1,False,
ZQ,6ebac18114bd7f57a0afac59597b611a,2021-01-01,75d28daa677610396355db48fdb2a088,Meter Stopped/Stuck,c6364072107d5935f9962f9cb7dba3b4,False,
ZQ,d985b9260145eea89c79d0c8bfc697eb,2021-01-01,1ca3b39dff6564439f987809ba630f76,Meter Stopped/Stuck,f7dc433f73fec96aa539eeb96eb3035d,False,
ZQ,f110ce835720aab8f53a260f2b5b556f,2021-01-01,d7fdf7d00f3725bb07789481c3d52fe0,Low Consumption,276d9be46f841d4cf2ad6170f41e6840,True,
ZQ,500ee6b4bed04dc8ac7fff3315af61fc,2021-01-01,7f66d878d7e5f771a4c76d5986210572,Low Consumption,b3f1c2e804c56c28746ca662ca6b9b97,True,
ZQ,15f508741917fcbefc1a082eb1cadded,2021-01-01,18b5c3c404cb052539b523fb75441845,Meter Stopped/Stuck,a8a897b40ffdedbc3d0e98ac3fe7e6ad,False,
ZQ,b1060401eba97fcdc3da7e175d70aa62,2021-01-01,f45183a0e12e2a466d06f822f7c24d8d,Low Consumption,1e16e7777ba267a88ded0b2e9c9b34ae,True,
ZQ,2d367b8e30b8e420a477e042e4227ace,2021-01-01,0534a08a019e76579c8b6dde8e6c0f87,Low Consumption,ac38b7dd69939b952cd161c2ffaae434,False,
ZQ,d19de071621d32bdfc15d64b2c16ea74,2021-01-01,2e2afabd9614c93fb9671b08bf7ce6f4,Low Consumption,652f1c1fdc2e12f862d5f10e53557943,True,
ZQ,4f46174726f0debeb3da0f5cd58b9a2a,2021-01-01,80bce3b7fb60d421f62e75f8b957d98c,Meter Stopped/Stuck,8ac7d5dcbeba28f9e9b618b4a106e10b,True,
ZQ,566b1550d07bb045b7431d5b132fa761,2021-01-01,d9ad6fbdee2734583509d9744e61a21a,Low Consumption,bebbfcd3e339bb1ba0a4fe5c13fe9098,True,
ZQ,f4f9e5879fcfb0cf127602a33302537d,2021-01-01,6f08d922fbf8fe40461adf2cf8af2a84,Low Consumption,850750fb2297b71b1e2545a1505047fe,True,
ZQ,56ff8aa10fa0cd90428cff9e9fe97ba6,2021-01-01,d8e113cf8040c45119ccf6a4b023be13,Low Consumption,6a34177a3f64f2e6f8ee104a4de4e90f,True,
